Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Len	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	AverageLoss	StdLoss	MaxLoss	MinLoss	Time
1	22.049723756906076	27390.553	83.0	8.0	22.049723756906076	8.0	0.0	8.0	8.0	8.0	3999	[11.63728086]	[2564473.4933342]	[17.278677]	[-0.04991354]	6.3480327975365425	197818.84	45.474724	0.0014506984	12.518609762191772
2	20.837696335078533	22431.969	71.0	8.0	20.837696335078533	8.0	0.0	8.0	8.0	8.0	7999	[16.99467383]	[49758.99906759]	[19.112825]	[14.390938]	13.116951171875	381020.5	59.890717	0.009628599	24.68251895904541
3	21.972677595628415	20812.863	61.0	8.0	21.972677595628415	11.0	0.0	11.0	11.0	11.0	11999	[17.64151563]	[199512.15781456]	[21.404001]	[14.845825]	13.40298828125	435397.0	67.736496	0.012304885	36.60804581642151
4	21.08421052631579	30802.648	83.0	8.0	21.08421052631579	11.0	0.0	11.0	11.0	11.0	15999	[18.3556543]	[84387.78969335]	[21.142132]	[15.459954]	15.0463193359375	507921.22	59.41784	0.002290144	48.508129835128784
5	21.331550802139038	23337.445	63.0	8.0	21.331550802139038	11.0	0.0	11.0	11.0	11.0	19999	[18.46593555]	[133833.29133627]	[21.501837]	[15.88885]	15.0366220703125	534822.6	80.0005	0.0056709195	61.25075817108154
6	21.32085561497326	24932.75	101.0	9.0	21.32085561497326	11.0	0.0	11.0	11.0	11.0	23999	[18.00594727]	[282929.72792392]	[22.006565]	[14.898267]	14.35390625	485079.8	62.949295	0.011951398	73.59730744361877
7	23.03448275862069	38049.793	104.0	8.0	23.03448275862069	11.0	0.0	11.0	11.0	11.0	27999	[20.05358594]	[40443.86195793]	[22.23116]	[17.828928]	16.573314453125	707719.0	72.955215	0.0029672757	85.95099186897278
8	21.483870967741936	21400.453	68.0	8.0	21.483870967741936	8.0	0.0	8.0	8.0	8.0	31999	[19.68230469]	[137626.65797044]	[22.45499]	[16.351599]	16.95410546875	714440.3	91.97197	0.010228313	99.57730770111084
9	22.255555555555556	24162.246	65.0	8.0	22.255555555555556	8.0	0.0	8.0	8.0	8.0	35999	[18.9097207]	[100022.50549159]	[21.21]	[16.04816]	15.629275390625	577815.25	67.8609	0.02786864	111.81033110618591
10	21.664864864864864	28725.223	87.0	8.0	21.664864864864864	8.0	0.0	8.0	8.0	8.0	39999	[18.55388672]	[32503.91326346]	[20.34218]	[16.424965]	15.0371123046875	538896.4	73.345184	0.013012278	124.18086767196655
